Description,TECHNICAL_SKILL,COMPANY_NAME,TOOL,EDUCATION,EXPERIENCE,DESIGNATION,LOCATION,LANGUAGE,SOFT_SKILL,PAY,CERTIFICATION
"Tesla, Apple, Amazon is seeking a Product Manager, Software Engineer, Data Scientist, Backend Developer proficient in Docker, Machine Learning, Java and experienced with Slack, Figma, GitHub, VS Code. The ideal candidate should possess Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science and have Entry level, 3-5 years, Mid-Senior level, 2+ years of industry experience. Position is based in Boston, MA, San Francisco, CA, New York, NY, Chicago, IL. Strong Communication Skills, Adaptability, Problem-Solving and fluency in German, Spanish are required. Salary range: $80k–$100k, $100k–$130k, $90k–$120k, $120k–$150k. Preferred certifications include AWS Certified Solutions Architect, Google Cloud Professional.","Docker, Machine Learning, Java","Tesla, Apple, Amazon","Slack, Figma, GitHub, VS Code","Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science","Entry level, 3-5 years, Mid-Senior level, 2+ years","Product Manager, Software Engineer, Data Scientist, Backend Developer","Boston, MA, San Francisco, CA, New York, NY, Chicago, IL","German, Spanish","Communication Skills, Adaptability, Problem-Solving","$80k–$100k, $100k–$130k, $90k–$120k, $120k–$150k","AWS Certified Solutions Architect, Google Cloud Professional"
"Google, Apple, Netflix is seeking a Data Scientist, DevOps Engineer proficient in Docker, Java, Machine Learning and experienced with Figma, GitHub. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems and have Entry level, 2+ years, 7+ years, 5+ years of industry experience. Position is based in New York, NY, Seattle, WA, Chicago, IL. Strong Teamwork, Adaptability, Problem-Solving, Leadership and fluency in Spanish, English, French are required. Salary range: $120k–$150k, $100k–$130k, $80k–$100k. Preferred certifications include PMP Certification, Certified Scrum Master, AWS Certified Solutions Architect, Google Cloud Professional.","Docker, Java, Machine Learning","Google, Apple, Netflix","Figma, GitHub","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","Entry level, 2+ years, 7+ years, 5+ years","Data Scientist, DevOps Engineer","New York, NY, Seattle, WA, Chicago, IL","Spanish, English, French","Teamwork, Adaptability, Problem-Solving, Leadership","$120k–$150k, $100k–$130k, $80k–$100k","PMP Certification, Certified Scrum Master, AWS Certified Solutions Architect, Google Cloud Professional"
"Amazon, Apple is seeking a Backend Developer, DevOps Engineer, Product Manager, Software Engineer proficient in Java, SQL and experienced with Salesforce, Slack, VS Code, Tableau. The ideal candidate should possess Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science and have 3-5 years, 5+ years, 2+ years, Entry level of industry experience. Position is based in Austin, TX, New York, NY. Strong Problem-Solving, Adaptability and fluency in German, Spanish are required. Salary range: $100k–$130k, $80k–$100k, $120k–$150k. Preferred certifications include PMP Certification, Google Cloud Professional, Certified Scrum Master.","Java, SQL","Amazon, Apple","Salesforce, Slack, VS Code, Tableau","Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science","3-5 years, 5+ years, 2+ years, Entry level","Backend Developer, DevOps Engineer, Product Manager, Software Engineer","Austin, TX, New York, NY","German, Spanish","Problem-Solving, Adaptability","$100k–$130k, $80k–$100k, $120k–$150k","PMP Certification, Google Cloud Professional, Certified Scrum Master"
"Google, Microsoft is seeking a Product Manager, DevOps Engineer, Backend Developer proficient in Machine Learning, Python, Kubernetes, Java and experienced with GitHub, VS Code, Slack. The ideal candidate should possess Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science and have Entry level, 2+ years of industry experience. Position is based in Chicago, IL, Seattle, WA. Strong Teamwork, Leadership, Problem-Solving, Adaptability and fluency in French, German, Spanish, English are required. Salary range: $80k–$100k, $120k–$150k, $100k–$130k. Preferred certifications include Certified Scrum Master, PMP Certification, Google Cloud Professional, AWS Certified Solutions Architect.","Machine Learning, Python, Kubernetes, Java","Google, Microsoft","GitHub, VS Code, Slack","Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science","Entry level, 2+ years","Product Manager, DevOps Engineer, Backend Developer","Chicago, IL, Seattle, WA","French, German, Spanish, English","Teamwork, Leadership, Problem-Solving, Adaptability","$80k–$100k, $120k–$150k, $100k–$130k","Certified Scrum Master, PMP Certification, Google Cloud Professional, AWS Certified Solutions Architect"
"Microsoft, Google is seeking a Software Engineer, Product Manager proficient in Docker, AWS, SQL, Kubernetes and experienced with GitHub, VS Code, Jira. The ideal candidate should possess Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science and have Entry level, 3-5 years of industry experience. Position is based in San Francisco, CA, Seattle, WA, New York, NY. Strong Communication Skills, Problem-Solving, Leadership, Teamwork and fluency in German, French are required. Salary range: $80k–$100k, $90k–$120k, $120k–$150k, $100k–$130k. Preferred certifications include Google Cloud Professional, AWS Certified Solutions Architect.","Docker, AWS, SQL, Kubernetes","Microsoft, Google","GitHub, VS Code, Jira","Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science","Entry level, 3-5 years","Software Engineer, Product Manager","San Francisco, CA, Seattle, WA, New York, NY","German, French","Communication Skills, Problem-Solving, Leadership, Teamwork","$80k–$100k, $90k–$120k, $120k–$150k, $100k–$130k","Google Cloud Professional, AWS Certified Solutions Architect"
"Google, IBM, Apple, Microsoft is seeking a DevOps Engineer, Software Engineer, Data Scientist proficient in SQL, Python, Docker and experienced with VS Code, Tableau, Salesforce, Figma. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems and have Mid-Senior level, 3-5 years, Entry level of industry experience. Position is based in San Francisco, CA, Seattle, WA. Strong Leadership, Communication Skills and fluency in English, Spanish, French, German are required. Salary range: $100k–$130k, $120k–$150k, $80k–$100k, $90k–$120k. Preferred certifications include PMP Certification, Google Cloud Professional, Certified Scrum Master, AWS Certified Solutions Architect.","SQL, Python, Docker","Google, IBM, Apple, Microsoft","VS Code, Tableau, Salesforce, Figma","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","Mid-Senior level, 3-5 years, Entry level","DevOps Engineer, Software Engineer, Data Scientist","San Francisco, CA, Seattle, WA","English, Spanish, French, German","Leadership, Communication Skills","$100k–$130k, $120k–$150k, $80k–$100k, $90k–$120k","PMP Certification, Google Cloud Professional, Certified Scrum Master, AWS Certified Solutions Architect"
"Tesla, Amazon, IBM is seeking a Software Engineer, DevOps Engineer proficient in Machine Learning, TensorFlow, AWS, Kubernetes and experienced with Tableau, Figma, Salesforce. The ideal candidate should possess Ph.D. in Data Science, Master's in Information Systems and have Mid-Senior level, 7+ years of industry experience. Position is based in Austin, TX, Seattle, WA, Chicago, IL. Strong Communication Skills, Leadership, Teamwork and fluency in English, Spanish are required. Salary range: $100k–$130k, $80k–$100k, $120k–$150k. Preferred certifications include Google Cloud Professional, PMP Certification.","Machine Learning, TensorFlow, AWS, Kubernetes","Tesla, Amazon, IBM","Tableau, Figma, Salesforce","Ph.D. in Data Science, Master's in Information Systems","Mid-Senior level, 7+ years","Software Engineer, DevOps Engineer","Austin, TX, Seattle, WA, Chicago, IL","English, Spanish","Communication Skills, Leadership, Teamwork","$100k–$130k, $80k–$100k, $120k–$150k","Google Cloud Professional, PMP Certification"
"Tesla, Amazon, Apple is seeking a Product Manager, Software Engineer, Backend Developer proficient in Docker, TensorFlow, AWS, Python and experienced with Salesforce, Tableau. The ideal candidate should possess Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems and have Mid-Senior level, 2+ years, 7+ years of industry experience. Position is based in Boston, MA, Chicago, IL, Austin, TX. Strong Problem-Solving, Communication Skills and fluency in Spanish, English, German are required. Salary range: $80k–$100k, $100k–$130k, $120k–$150k, $90k–$120k. Preferred certifications include Google Cloud Professional, PMP Certification, Certified Scrum Master, AWS Certified Solutions Architect.","Docker, TensorFlow, AWS, Python","Tesla, Amazon, Apple","Salesforce, Tableau","Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems","Mid-Senior level, 2+ years, 7+ years","Product Manager, Software Engineer, Backend Developer","Boston, MA, Chicago, IL, Austin, TX","Spanish, English, German","Problem-Solving, Communication Skills","$80k–$100k, $100k–$130k, $120k–$150k, $90k–$120k","Google Cloud Professional, PMP Certification, Certified Scrum Master, AWS Certified Solutions Architect"
"Tesla, Microsoft, Facebook, Amazon is seeking a DevOps Engineer, Product Manager, Software Engineer proficient in AWS, Machine Learning and experienced with GitHub, Jira. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science and have 3-5 years, Mid-Senior level, 2+ years, 7+ years of industry experience. Position is based in Austin, TX, Seattle, WA. Strong Leadership, Problem-Solving and fluency in Spanish, English are required. Salary range: $120k–$150k, $100k–$130k. Preferred certifications include PMP Certification, AWS Certified Solutions Architect.","AWS, Machine Learning","Tesla, Microsoft, Facebook, Amazon","GitHub, Jira","Bachelor's in Computer Science, Ph.D. in Data Science","3-5 years, Mid-Senior level, 2+ years, 7+ years","DevOps Engineer, Product Manager, Software Engineer","Austin, TX, Seattle, WA","Spanish, English","Leadership, Problem-Solving","$120k–$150k, $100k–$130k","PMP Certification, AWS Certified Solutions Architect"
"Tesla, Apple is seeking a Data Scientist, DevOps Engineer, Backend Developer, Product Manager proficient in Python, Machine Learning, AWS and experienced with Slack, Figma. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science and have 7+ years, 5+ years, 2+ years, Entry level of industry experience. Position is based in Austin, TX, Chicago, IL, New York, NY. Strong Leadership, Communication Skills, Adaptability, Problem-Solving and fluency in English, French, Spanish, German are required. Salary range: $120k–$150k, $80k–$100k, $90k–$120k, $100k–$130k. Preferred certifications include Google Cloud Professional, PMP Certification.","Python, Machine Learning, AWS","Tesla, Apple","Slack, Figma","Master's in Information Systems, Ph.D. in Data Science","7+ years, 5+ years, 2+ years, Entry level","Data Scientist, DevOps Engineer, Backend Developer, Product Manager","Austin, TX, Chicago, IL, New York, NY","English, French, Spanish, German","Leadership, Communication Skills, Adaptability, Problem-Solving","$120k–$150k, $80k–$100k, $90k–$120k, $100k–$130k","Google Cloud Professional, PMP Certification"
"Google, Tesla, Facebook, Microsoft is seeking a Data Scientist, Backend Developer proficient in Machine Learning, Python, Docker and experienced with Salesforce, GitHub. The ideal candidate should possess Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science and have 2+ years, 5+ years, Entry level, 3-5 years of industry experience. Position is based in San Francisco, CA, Seattle, WA, Austin, TX. Strong Problem-Solving, Communication Skills and fluency in German, Spanish are required. Salary range: $90k–$120k, $80k–$100k. Preferred certifications include Google Cloud Professional, PMP Certification.","Machine Learning, Python, Docker","Google, Tesla, Facebook, Microsoft","Salesforce, GitHub","Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science","2+ years, 5+ years, Entry level, 3-5 years","Data Scientist, Backend Developer","San Francisco, CA, Seattle, WA, Austin, TX","German, Spanish","Problem-Solving, Communication Skills","$90k–$120k, $80k–$100k","Google Cloud Professional, PMP Certification"
"Google, Netflix is seeking a DevOps Engineer, Data Scientist proficient in Python, Machine Learning and experienced with Figma, Jira, GitHub, Slack. The ideal candidate should possess Ph.D. in Data Science, Bachelor's in Computer Science and have Entry level, 5+ years, 3-5 years of industry experience. Position is based in New York, NY, Chicago, IL, Austin, TX. Strong Adaptability, Teamwork, Communication Skills, Problem-Solving and fluency in Spanish, German, French, English are required. Salary range: $80k–$100k, $120k–$150k, $90k–$120k. Preferred certifications include Certified Scrum Master, Google Cloud Professional.","Python, Machine Learning","Google, Netflix","Figma, Jira, GitHub, Slack","Ph.D. in Data Science, Bachelor's in Computer Science","Entry level, 5+ years, 3-5 years","DevOps Engineer, Data Scientist","New York, NY, Chicago, IL, Austin, TX","Spanish, German, French, English","Adaptability, Teamwork, Communication Skills, Problem-Solving","$80k–$100k, $120k–$150k, $90k–$120k","Certified Scrum Master, Google Cloud Professional"
"Netflix, Amazon, Microsoft, Google is seeking a Backend Developer, DevOps Engineer proficient in Docker, Kubernetes, Java, Machine Learning and experienced with Salesforce, Jira. The ideal candidate should possess Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems and have 5+ years, Mid-Senior level, 7+ years of industry experience. Position is based in Boston, MA, Austin, TX. Strong Problem-Solving, Teamwork, Adaptability, Communication Skills and fluency in French, English, German are required. Salary range: $80k–$100k, $120k–$150k. Preferred certifications include PMP Certification, Google Cloud Professional.","Docker, Kubernetes, Java, Machine Learning","Netflix, Amazon, Microsoft, Google","Salesforce, Jira","Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems","5+ years, Mid-Senior level, 7+ years","Backend Developer, DevOps Engineer","Boston, MA, Austin, TX","French, English, German","Problem-Solving, Teamwork, Adaptability, Communication Skills","$80k–$100k, $120k–$150k","PMP Certification, Google Cloud Professional"
"Microsoft, Google, Apple, Tesla is seeking a Data Scientist, Backend Developer proficient in SQL, Python, Docker and experienced with Jira, Slack. The ideal candidate should possess Ph.D. in Data Science, Master's in Information Systems and have Entry level, 5+ years, 2+ years, Mid-Senior level of industry experience. Position is based in Boston, MA, Austin, TX, New York, NY. Strong Problem-Solving, Teamwork, Communication Skills, Adaptability and fluency in English, German, French are required. Salary range: $80k–$100k, $100k–$130k, $90k–$120k. Preferred certifications include Google Cloud Professional, AWS Certified Solutions Architect.","SQL, Python, Docker","Microsoft, Google, Apple, Tesla","Jira, Slack","Ph.D. in Data Science, Master's in Information Systems","Entry level, 5+ years, 2+ years, Mid-Senior level","Data Scientist, Backend Developer","Boston, MA, Austin, TX, New York, NY","English, German, French","Problem-Solving, Teamwork, Communication Skills, Adaptability","$80k–$100k, $100k–$130k, $90k–$120k","Google Cloud Professional, AWS Certified Solutions Architect"
"IBM, Tesla is seeking a Data Scientist, Product Manager, DevOps Engineer, Software Engineer proficient in Machine Learning, SQL and experienced with Salesforce, Jira, VS Code. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science and have 7+ years, 3-5 years, 2+ years of industry experience. Position is based in Seattle, WA, Austin, TX. Strong Adaptability, Leadership, Problem-Solving and fluency in English, French, German are required. Salary range: $90k–$120k, $120k–$150k. Preferred certifications include AWS Certified Solutions Architect, Certified Scrum Master, PMP Certification.","Machine Learning, SQL","IBM, Tesla","Salesforce, Jira, VS Code","Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science","7+ years, 3-5 years, 2+ years","Data Scientist, Product Manager, DevOps Engineer, Software Engineer","Seattle, WA, Austin, TX","English, French, German","Adaptability, Leadership, Problem-Solving","$90k–$120k, $120k–$150k","AWS Certified Solutions Architect, Certified Scrum Master, PMP Certification"
"Apple, Microsoft is seeking a DevOps Engineer, Backend Developer proficient in Kubernetes, Machine Learning and experienced with Tableau, Salesforce, Slack. The ideal candidate should possess Ph.D. in Data Science, Bachelor's in Computer Science and have 5+ years, 2+ years, 7+ years, Mid-Senior level of industry experience. Position is based in Boston, MA, Chicago, IL, Seattle, WA. Strong Communication Skills, Problem-Solving and fluency in French, English, Spanish are required. Salary range: $100k–$130k, $90k–$120k. Preferred certifications include Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect.","Kubernetes, Machine Learning","Apple, Microsoft","Tableau, Salesforce, Slack","Ph.D. in Data Science, Bachelor's in Computer Science","5+ years, 2+ years, 7+ years, Mid-Senior level","DevOps Engineer, Backend Developer","Boston, MA, Chicago, IL, Seattle, WA","French, English, Spanish","Communication Skills, Problem-Solving","$100k–$130k, $90k–$120k","Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect"
"Microsoft, Apple is seeking a DevOps Engineer, Product Manager, Software Engineer proficient in Kubernetes, Machine Learning and experienced with GitHub, Jira, Salesforce, VS Code. The ideal candidate should possess Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science and have 2+ years, Mid-Senior level of industry experience. Position is based in Chicago, IL, San Francisco, CA, New York, NY, Seattle, WA. Strong Problem-Solving, Adaptability, Communication Skills, Leadership and fluency in Spanish, French, German, English are required. Salary range: $120k–$150k, $100k–$130k, $80k–$100k. Preferred certifications include PMP Certification, Google Cloud Professional.","Kubernetes, Machine Learning","Microsoft, Apple","GitHub, Jira, Salesforce, VS Code","Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science","2+ years, Mid-Senior level","DevOps Engineer, Product Manager, Software Engineer","Chicago, IL, San Francisco, CA, New York, NY, Seattle, WA","Spanish, French, German, English","Problem-Solving, Adaptability, Communication Skills, Leadership","$120k–$150k, $100k–$130k, $80k–$100k","PMP Certification, Google Cloud Professional"
"Netflix, Facebook is seeking a Software Engineer, DevOps Engineer proficient in Docker, AWS, TensorFlow and experienced with VS Code, Jira, Figma. The ideal candidate should possess Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science and have 2+ years, Mid-Senior level, Entry level, 7+ years of industry experience. Position is based in San Francisco, CA, Boston, MA. Strong Leadership, Teamwork, Communication Skills and fluency in Spanish, French, English, German are required. Salary range: $100k–$130k, $120k–$150k, $80k–$100k, $90k–$120k. Preferred certifications include AWS Certified Solutions Architect, PMP Certification.","Docker, AWS, TensorFlow","Netflix, Facebook","VS Code, Jira, Figma","Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science","2+ years, Mid-Senior level, Entry level, 7+ years","Software Engineer, DevOps Engineer","San Francisco, CA, Boston, MA","Spanish, French, English, German","Leadership, Teamwork, Communication Skills","$100k–$130k, $120k–$150k, $80k–$100k, $90k–$120k","AWS Certified Solutions Architect, PMP Certification"
"Apple, IBM, Facebook, Netflix is seeking a Data Scientist, Software Engineer, DevOps Engineer proficient in AWS, Java, Kubernetes and experienced with Slack, Figma, Jira, Salesforce. The ideal candidate should possess Ph.D. in Data Science, Bachelor's in Computer Science and have 2+ years, Mid-Senior level, 3-5 years, 5+ years of industry experience. Position is based in Boston, MA, Austin, TX, New York, NY, Chicago, IL. Strong Adaptability, Leadership, Teamwork and fluency in English, Spanish are required. Salary range: $80k–$100k, $120k–$150k, $90k–$120k, $100k–$130k. Preferred certifications include AWS Certified Solutions Architect, Certified Scrum Master.","AWS, Java, Kubernetes","Apple, IBM, Facebook, Netflix","Slack, Figma, Jira, Salesforce","Ph.D. in Data Science, Bachelor's in Computer Science","2+ years, Mid-Senior level, 3-5 years, 5+ years","Data Scientist, Software Engineer, DevOps Engineer","Boston, MA, Austin, TX, New York, NY, Chicago, IL","English, Spanish","Adaptability, Leadership, Teamwork","$80k–$100k, $120k–$150k, $90k–$120k, $100k–$130k","AWS Certified Solutions Architect, Certified Scrum Master"
"IBM, Tesla is seeking a Software Engineer, Product Manager proficient in Machine Learning, Python, Java, Docker and experienced with Slack, Figma. The ideal candidate should possess Ph.D. in Data Science, Master's in Information Systems and have Mid-Senior level, Entry level, 3-5 years, 7+ years of industry experience. Position is based in San Francisco, CA, New York, NY. Strong Teamwork, Leadership, Communication Skills and fluency in English, French, German, Spanish are required. Salary range: $120k–$150k, $100k–$130k. Preferred certifications include Google Cloud Professional, Certified Scrum Master, PMP Certification.","Machine Learning, Python, Java, Docker","IBM, Tesla","Slack, Figma","Ph.D. in Data Science, Master's in Information Systems","Mid-Senior level, Entry level, 3-5 years, 7+ years","Software Engineer, Product Manager","San Francisco, CA, New York, NY","English, French, German, Spanish","Teamwork, Leadership, Communication Skills","$120k–$150k, $100k–$130k","Google Cloud Professional, Certified Scrum Master, PMP Certification"
"Microsoft, Google, Netflix, IBM is seeking a Data Scientist, Backend Developer, Software Engineer proficient in Python, Machine Learning and experienced with Jira, Slack. The ideal candidate should possess Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science and have 2+ years, 7+ years of industry experience. Position is based in Austin, TX, Boston, MA, Chicago, IL. Strong Teamwork, Problem-Solving, Adaptability, Communication Skills and fluency in French, English are required. Salary range: $120k–$150k, $80k–$100k, $100k–$130k. Preferred certifications include Certified Scrum Master, PMP Certification.","Python, Machine Learning","Microsoft, Google, Netflix, IBM","Jira, Slack","Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science","2+ years, 7+ years","Data Scientist, Backend Developer, Software Engineer","Austin, TX, Boston, MA, Chicago, IL","French, English","Teamwork, Problem-Solving, Adaptability, Communication Skills","$120k–$150k, $80k–$100k, $100k–$130k","Certified Scrum Master, PMP Certification"
"Microsoft, Apple, IBM, Tesla is seeking a Data Scientist, Software Engineer proficient in TensorFlow, AWS and experienced with Slack, Salesforce. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems and have 3-5 years, Entry level, 2+ years, Mid-Senior level of industry experience. Position is based in Boston, MA, Chicago, IL, New York, NY, Austin, TX. Strong Leadership, Adaptability and fluency in French, German, Spanish are required. Salary range: $120k–$150k, $100k–$130k. Preferred certifications include AWS Certified Solutions Architect, PMP Certification, Certified Scrum Master, Google Cloud Professional.","TensorFlow, AWS","Microsoft, Apple, IBM, Tesla","Slack, Salesforce","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","3-5 years, Entry level, 2+ years, Mid-Senior level","Data Scientist, Software Engineer","Boston, MA, Chicago, IL, New York, NY, Austin, TX","French, German, Spanish","Leadership, Adaptability","$120k–$150k, $100k–$130k","AWS Certified Solutions Architect, PMP Certification, Certified Scrum Master, Google Cloud Professional"
"Apple, Google, Tesla, Facebook is seeking a Backend Developer, Software Engineer proficient in Python, SQL and experienced with Figma, Jira, VS Code, Salesforce. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems and have Entry level, 7+ years, 2+ years of industry experience. Position is based in Seattle, WA, Austin, TX. Strong Communication Skills, Problem-Solving, Adaptability, Teamwork and fluency in German, French, English, Spanish are required. Salary range: $80k–$100k, $90k–$120k, $100k–$130k, $120k–$150k. Preferred certifications include AWS Certified Solutions Architect, Google Cloud Professional, PMP Certification, Certified Scrum Master.","Python, SQL","Apple, Google, Tesla, Facebook","Figma, Jira, VS Code, Salesforce","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","Entry level, 7+ years, 2+ years","Backend Developer, Software Engineer","Seattle, WA, Austin, TX","German, French, English, Spanish","Communication Skills, Problem-Solving, Adaptability, Teamwork","$80k–$100k, $90k–$120k, $100k–$130k, $120k–$150k","AWS Certified Solutions Architect, Google Cloud Professional, PMP Certification, Certified Scrum Master"
"Google, Facebook, Amazon, Netflix is seeking a DevOps Engineer, Software Engineer proficient in Docker, Python, Machine Learning and experienced with Figma, Salesforce. The ideal candidate should possess Ph.D. in Data Science, Master's in Information Systems and have 5+ years, 3-5 years, Mid-Senior level of industry experience. Position is based in Chicago, IL, Boston, MA, Seattle, WA. Strong Communication Skills, Problem-Solving, Teamwork and fluency in French, Spanish, German are required. Salary range: $80k–$100k, $100k–$130k. Preferred certifications include AWS Certified Solutions Architect, Certified Scrum Master, Google Cloud Professional.","Docker, Python, Machine Learning","Google, Facebook, Amazon, Netflix","Figma, Salesforce","Ph.D. in Data Science, Master's in Information Systems","5+ years, 3-5 years, Mid-Senior level","DevOps Engineer, Software Engineer","Chicago, IL, Boston, MA, Seattle, WA","French, Spanish, German","Communication Skills, Problem-Solving, Teamwork","$80k–$100k, $100k–$130k","AWS Certified Solutions Architect, Certified Scrum Master, Google Cloud Professional"
"Netflix, Amazon is seeking a DevOps Engineer, Data Scientist, Backend Developer, Product Manager proficient in Java, Kubernetes and experienced with GitHub, Tableau. The ideal candidate should possess Bachelor's in Computer Science, Master's in Information Systems and have 5+ years, 3-5 years of industry experience. Position is based in New York, NY, San Francisco, CA. Strong Adaptability, Problem-Solving, Leadership and fluency in French, Spanish, German, English are required. Salary range: $90k–$120k, $80k–$100k. Preferred certifications include PMP Certification, AWS Certified Solutions Architect.","Java, Kubernetes","Netflix, Amazon","GitHub, Tableau","Bachelor's in Computer Science, Master's in Information Systems","5+ years, 3-5 years","DevOps Engineer, Data Scientist, Backend Developer, Product Manager","New York, NY, San Francisco, CA","French, Spanish, German, English","Adaptability, Problem-Solving, Leadership","$90k–$120k, $80k–$100k","PMP Certification, AWS Certified Solutions Architect"
"IBM, Microsoft, Apple, Netflix is seeking a Data Scientist, Backend Developer, DevOps Engineer proficient in Kubernetes, Docker, TensorFlow, AWS and experienced with GitHub, Jira, Salesforce. The ideal candidate should possess Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems and have Mid-Senior level, Entry level of industry experience. Position is based in Seattle, WA, Boston, MA. Strong Leadership, Problem-Solving and fluency in Spanish, English, German, French are required. Salary range: $100k–$130k, $90k–$120k, $80k–$100k, $120k–$150k. Preferred certifications include AWS Certified Solutions Architect, Google Cloud Professional.","Kubernetes, Docker, TensorFlow, AWS","IBM, Microsoft, Apple, Netflix","GitHub, Jira, Salesforce","Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems","Mid-Senior level, Entry level","Data Scientist, Backend Developer, DevOps Engineer","Seattle, WA, Boston, MA","Spanish, English, German, French","Leadership, Problem-Solving","$100k–$130k, $90k–$120k, $80k–$100k, $120k–$150k","AWS Certified Solutions Architect, Google Cloud Professional"
"Google, Microsoft is seeking a Product Manager, Backend Developer, Data Scientist, DevOps Engineer proficient in Python, TensorFlow and experienced with VS Code, Jira, Salesforce, GitHub. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems and have 5+ years, 2+ years of industry experience. Position is based in Austin, TX, New York, NY, Chicago, IL, Boston, MA. Strong Communication Skills, Problem-Solving, Adaptability, Leadership and fluency in German, French, Spanish, English are required. Salary range: $100k–$130k, $120k–$150k, $90k–$120k. Preferred certifications include Certified Scrum Master, AWS Certified Solutions Architect.","Python, TensorFlow","Google, Microsoft","VS Code, Jira, Salesforce, GitHub","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","5+ years, 2+ years","Product Manager, Backend Developer, Data Scientist, DevOps Engineer","Austin, TX, New York, NY, Chicago, IL, Boston, MA","German, French, Spanish, English","Communication Skills, Problem-Solving, Adaptability, Leadership","$100k–$130k, $120k–$150k, $90k–$120k","Certified Scrum Master, AWS Certified Solutions Architect"
"Google, Facebook is seeking a Backend Developer, Data Scientist, Product Manager proficient in Python, Java, SQL and experienced with Figma, GitHub. The ideal candidate should possess Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems and have 5+ years, 7+ years, 3-5 years of industry experience. Position is based in Austin, TX, Chicago, IL. Strong Communication Skills, Problem-Solving, Teamwork and fluency in German, Spanish, French are required. Salary range: $120k–$150k, $100k–$130k, $80k–$100k. Preferred certifications include Certified Scrum Master, Google Cloud Professional, PMP Certification.","Python, Java, SQL","Google, Facebook","Figma, GitHub","Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems","5+ years, 7+ years, 3-5 years","Backend Developer, Data Scientist, Product Manager","Austin, TX, Chicago, IL","German, Spanish, French","Communication Skills, Problem-Solving, Teamwork","$120k–$150k, $100k–$130k, $80k–$100k","Certified Scrum Master, Google Cloud Professional, PMP Certification"
